"time","Air Temperature_average_ºC","Apparent Temperature_average_ºC","Delta T_average_ºC","Dew Point_average_ºC","Rainfall_raw_mm","Relative Humidity_average_%","Soil Temperature_average_ºC","Solar Radiation_average_W/m^2","Voltage_average_V","Wind Direction_average_º","Wind Speed_average_km/h","Wind Speed_maximum_km/h","Wind Speed_minimum_km/h"
2021-12-31 22:30:00,23.6,23.076818,5.582485,14.957416,0,58.4,28.6,224,12.98,217.101863,10.908,20.916,4.968
2021-12-31 22:45:00,23.2,21.953313,5.511416,14.635912,0,58.6,28.6,318,13.09,219.059963,14.04,22.608,7.488
2021-12-31 23:00:00,23.2,21.889812,5.808695,14.071157,0,56.5,28.6,446,13.2,228.346819,13.356,20.916,6.66
2021-12-31 23:15:00,23.4,22.52368,5.960541,14.009607,0,55.6,28.6,411,13.31,201.844914,11.016,18.396,4.968
2021-12-31 23:30:00,24.9,24.996386,7.111905,13.511509,0,49.2,28.6,582,13.31,167.819084,5.148,11.7,0.792
2021-12-31 23:45:00,26.2,25.834176,8.187919,12.911626,0,43.8,28.6,452,13.31,161.565051,6.516,12.528,0.792
2022-01-01 00:00:00,26.7,26.348349,8.374822,13.151819,0,43.2,28.6,398,13.31,148.316083,6.84,10.836,1.62
2022-01-01 00:15:00,27.7,27.398308,8.705594,13.72911,0,42.3,28.6,683,13.42,145.027909,7.56,12.528,2.448
2022-01-01 00:30:00,27.3,27.750555,7.960377,14.73087,0,46.2,28.9,327,13.2,123.231711,5.472,9.18,0.792
2022-01-01 00:45:00,26.2,27.021989,6.915342,15.444318,0,51.6,29,303,13.2,128.329047,4.896,8.316,0.792
2022-01-01 01:00:00,25.7,26.406408,6.553401,15.546978,0,53.5,29,288,13.2,129.716,5.688,9.18,2.448
2022-01-01 01:15:00,26,26.835738,6.762928,15.499956,0,52.4,29,534,13.42,130.07289,4.932,9.18,0
2022-01-01 01:30:00,28.4,29.180955,9.029477,13.951539,0,41.2,29,776,13.53,146.689369,2.376,5.796,0
2022-01-01 01:45:00,30.3,29.630592,12.21162,9.647158,0,27.8,29.3,515,13.42,178.629549,3.168,8.316,0.792
2022-01-01 02:00:00,31,30.295292,12.610821,9.75308,0,26.9,29.3,685,13.53,129.769193,3.492,7.488,0
2022-01-01 02:15:00,31.9,31.576326,11.792923,12.814432,0,31.3,29.3,739,13.31,45,6.12,10.836,0
2022-01-01 02:30:00,32.2,31.591567,12.65537,11.378452,0,28,29.5,928,13.2,40.683972,5.328,11.7,1.62
2022-01-01 02:45:00,33.6,33.189102,13.513407,11.506266,0,26.1,29.7,1087,13.2,39.596209,4.5,11.7,0
2022-01-01 03:00:00,34,33.1999,14.227861,10.515591,0,23.9,29.7,792,13.2,52.447417,5.04,12.528,0
2022-01-01 03:15:00,33.1,32.010295,14.051475,9.573031,0,23.6,30,345,13.2,6.766175,5.22,20.088,0
2022-01-01 03:30:00,32.4,30.988114,13.984741,8.669752,0,23.1,30.1,311,13.2,257.436531,5.688,14.22,0
2022-01-01 03:45:00,32.7,30.718668,14.100688,8.855959,0,23,30.4,372,13.31,250.790831,8.856,17.568,4.14
2022-01-01 04:00:00,32.5,30.139936,13.688256,9.505509,0,24.3,30.5,305,13.2,245.825218,11.664,21.78,4.968
2022-01-01 04:15:00,31.9,29.711747,13.386253,9.30394,0,24.8,30.9,234,13.2,228.702213,10.512,17.568,4.968
