File Name,File Path,Site Name,Var Name,Units,Date,Val
EM2014780_0_ENMRG.CSV,C:\Users\00065525\Github\CDM\data\incoming\DEW\wq\WQ_HCHB_Phase1\ALS Results\2020 Results\August\25_8_2020,Stony Well,Algal Count,,26/08/2020 0:00, NaN
EM2014780_0_ENMRG.CSV,C:\Users\00065525\Github\CDM\data\incoming\DEW\wq\WQ_HCHB_Phase1\ALS Results\2020 Results\August\25_8_2020,Stony Well,Total Dissolved Solids @180°C,mg/L,26/08/2020 0:00,152000
EM2014780_0_ENMRG.CSV,C:\Users\00065525\Github\CDM\data\incoming\DEW\wq\WQ_HCHB_Phase1\ALS Results\2020 Results\August\25_8_2020,Stony Well,Turbidity,NTU,26/08/2020 0:00,6.3
EM2014780_0_ENMRG.CSV,C:\Users\00065525\Github\CDM\data\incoming\DEW\wq\WQ_HCHB_Phase1\ALS Results\2020 Results\August\25_8_2020,Stony Well,Chloride,mg/L,26/08/2020 0:00,40900
EM2014780_0_ENMRG.CSV,C:\Users\00065525\Github\CDM\data\incoming\DEW\wq\WQ_HCHB_Phase1\ALS Results\2020 Results\August\25_8_2020,Stony Well,Reactive Silica,mg/L,26/08/2020 0:00, NaN
EM2014780_0_ENMRG.CSV,C:\Users\00065525\Github\CDM\data\incoming\DEW\wq\WQ_HCHB_Phase1\ALS Results\2020 Results\August\25_8_2020,Stony Well,Ammonia as N,mg/L,26/08/2020 0:00, NaN
EM2014780_0_ENMRG.CSV,C:\Users\00065525\Github\CDM\data\incoming\DEW\wq\WQ_HCHB_Phase1\ALS Results\2020 Results\August\25_8_2020,Stony Well,Nitrite as N,mg/L,26/08/2020 0:00, NaN
EM2014780_0_ENMRG.CSV,C:\Users\00065525\Github\CDM\data\incoming\DEW\wq\WQ_HCHB_Phase1\ALS Results\2020 Results\August\25_8_2020,Stony Well,Nitrate as N,mg/L,26/08/2020 0:00, NaN
EM2014780_0_ENMRG.CSV,C:\Users\00065525\Github\CDM\data\incoming\DEW\wq\WQ_HCHB_Phase1\ALS Results\2020 Results\August\25_8_2020,Stony Well,Nitrite + Nitrate as N,mg/L,26/08/2020 0:00, NaN
EM2014780_0_ENMRG.CSV,C:\Users\00065525\Github\CDM\data\incoming\DEW\wq\WQ_HCHB_Phase1\ALS Results\2020 Results\August\25_8_2020,Stony Well,Total Nitrogen as N,mg/L,26/08/2020 0:00,3
EM2014780_0_ENMRG.CSV,C:\Users\00065525\Github\CDM\data\incoming\DEW\wq\WQ_HCHB_Phase1\ALS Results\2020 Results\August\25_8_2020,Stony Well,Total Phosphorus as P,mg/L,26/08/2020 0:00,0.56
